date,day_he,time_session,ticker,sec_type,qty,exit_price,multiplier,proceeds_usd,net_pnl_usd,premium_paid_usd,entry_price,pct_of_premium,hold_minutes,commission_usd
2026-08-25,שלישי,09:55,MSTR,OPT,45,0.19,100,855.0,-977.62,1832.62,0.4072,-0.533456,1177.2,20.59
2026-08-25,שלישי,09:58,QQQ,OPT,60,0.14,100,840.0,-1192.9,2032.9,0.3388,-0.586797,10.6,28.4
2026-08-25,שלישי,10:03,AMZN,OPT,50,0.14,100,700.0,-1227.69,1927.69,0.3855,-0.636872,1090.1,6.57
2026-08-25,שלישי,10:03,CRM,OPT,10,0.53,100,530.0,-435.39,965.39,0.9654,-0.450999,1125.9,2.72
2026-08-25,שלישי,11:05,SMCI,OPT,40,0.36,100,1440.0,-693.07,2133.07,0.5333,-0.324915,16.2,2.37
2026-08-25,שלישי,11:16,ES,FOP,17,1.4,50,1190.0,-621.69,1811.69,2.1314,-0.343155,69.5,23.97
2026-08-25,שלישי,11:16,ES,FOP,3,1.45,50,217.5,-102.21,319.71,2.1314,-0.319696,72.6,4.23
2026-08-25,שלישי,12:20,MRNA,OPT,7,1.38,100,966.0,-578.35,1544.35,2.2062,-0.374492,156.1,1.91
2026-08-25,שלישי,12:21,MRNA,OPT,20,0.37,100,740.0,-855.0,1595.0,0.7975,-0.536049,72.8,6.38
2026-08-25,שלישי,13:04,TSLA,OPT,60,0.28,100,1680.0,-333.45,2013.45,0.3356,-0.165613,22.9,17.42
2026-08-26,רביעי,10:40,INTC,OPT,125,0.05,100,625.0,-1120.14,1745.14,0.1396,-0.641863,19.5,64.38
2026-08-26,רביעי,13:39,NVDA,OPT,10,0.59,100,590.0,-23.38,613.38,0.6134,-0.038124,59.2,2.14
2026-08-26,רביעי,13:49,NU,OPT,50,0.11,100,550.0,151.43,398.57,0.0797,0.379937,1381.0,26.48
2026-08-26,רביעי,13:51,MSTR,OPT,55,0.03,100,165.0,-1229.27,1394.27,0.2535,-0.881659,1507.2,4.57
2026-08-26,רביעי,13:51,MSTR,OPT,35,0.09,100,315.0,-1320.12,1635.12,0.4672,-0.807353,1653.7,9.48
2026-08-26,רביעי,13:51,OKLO,OPT,1,0.04,100,4.0,-30.32,34.32,0.3432,-0.883443,1431.8,0.79
2026-08-26,רביעי,14:04,OKLO,OPT,1,0.04,100,4.0,-30.31,34.31,0.3431,-0.883418,1445.5,0.78
2026-08-26,רביעי,14:05,OKLO,OPT,1,0.04,100,4.0,-29.55,33.55,0.3355,-0.880771,1446.0,0.02
2026-08-26,רביעי,14:08,OKLO,OPT,1,0.04,100,4.0,-30.32,34.32,0.3432,-0.883443,1449.1,0.79
2026-08-26,רביעי,14:11,OKLO,OPT,1,0.04,100,4.0,-29.55,33.55,0.3355,-0.880771,1452.2,0.02
2026-08-26,רביעי,14:33,OKLO,OPT,8,0.03,100,24.0,-244.04,268.04,0.3351,-0.910462,1474.5,-0.17
2026-08-26,רביעי,14:34,OKLO,OPT,1,0.03,100,3.0,-30.57,33.57,0.3357,-0.910629,1474.6,0.04
2026-08-26,רביעי,15:16,OKLO,OPT,51,0.03,100,153.0,-1555.69,1708.69,0.335,-0.910458,1516.9,-1.2
2026-08-26,רביעי,22:25,CRM,OPT,70,0,100,0.0,-1680.0,1680.0,0.24,-1.0,3305.1,0.0
2026-08-26,רביעי,22:25,NU,OPT,340,0,100,0.0,-2940.0,2940.0,0.0865,-1.0,1883.8,0.0
2026-08-26,רביעי,22:25,NVDA,OPT,31,0,100,0.0,-1891.0,1891.0,0.61,-1.0,584.8,0.0
2026-08-27,חמישי,09:34,CRM,OPT,4,6.9,100,2760.0,2358.31,401.69,1.0042,5.870912,1204.6,1.14
2026-08-27,חמישי,09:36,NVDA,OPT,50,0.19,100,950.0,-1166.64,2116.64,0.4233,-0.551175,2.7,9.28
2026-08-27,חמישי,09:41,CRM,OPT,4,10.45,100,4180.0,3778.28,401.72,1.0043,9.405188,1211.0,1.17
2026-08-27,חמישי,09:45,CRM,OPT,15,3.7,100,5550.0,5194.55,355.45,0.237,14.613808,1215.3,4.47
2026-08-27,חמישי,09:47,PLTR,OPT,5,2.81,100,1405.0,1070.89,334.11,0.6682,3.205253,1198.5,1.77
2026-08-27,חמישי,09:48,PLTR,OPT,2,2.34,100,468.0,334.52,133.48,0.6674,2.506027,1199.1,0.55
2026-08-27,חמישי,09:49,NVDA,OPT,55,0.2,100,1100.0,-1138.26,2238.26,0.407,-0.508547,8.9,26.85
2026-08-27,חמישי,09:56,CRM,OPT,15,3.15,100,4725.0,4369.94,355.06,0.2367,12.307774,1225.9,4.07
2026-08-27,חמישי,09:56,NOW,OPT,20,1.4,100,2800.0,1524.46,1275.54,0.6378,1.195154,18.2,7.48
2026-08-27,חמישי,10:10,CRM,OPT,10,4.9,100,4900.0,4663.21,236.79,0.2368,19.693052,1239.8,2.81
2026-08-27,חמישי,10:15,PLTR,OPT,23,2.06,100,4738.0,3207.33,1530.67,0.6655,2.095383,1226.3,1.93
2026-08-27,חמישי,10:20,NVDA,OPT,65,0.26,100,1690.0,-233.68,1923.68,0.296,-0.121475,3.8,11.33
2026-08-27,חמישי,10:24,CRM,OPT,2,6.8,100,1360.0,1312.59,47.41,0.237,27.687916,1254.6,0.61
2026-08-27,חמישי,10:25,CRM,OPT,4,6.9,100,2760.0,2665.21,94.79,0.237,28.118438,1142.7,1.19
2026-08-27,חמישי,10:25,CRM,OPT,14,6.8,100,9520.0,9188.15,331.85,0.237,27.687916,1222.8,4.26
2026-08-27,חמישי,10:39,INTC,OPT,125,0.06,100,750.0,-972.03,1722.03,0.1378,-0.564467,14.3,32.26
2026-08-27,חמישי,10:39,NOW,OPT,80,0.27,100,2160.0,-1567.09,3727.09,0.4659,-0.42046,51.1,22.25
2026-08-27,חמישי,10:40,NOW,OPT,25,1.08,100,2700.0,1108.1,1591.9,0.6368,0.696091,45.6,6.82
2026-08-27,חמישי,11:23,MSFT,OPT,40,0.25,100,1000.0,-1021.54,2021.54,0.5054,-0.505327,69.2,10.84
2026-08-27,חמישי,11:28,CRM,OPT,35,2.5,100,8750.0,3879.51,4870.49,1.3916,0.796534,106.2,9.43
2026-08-27,חמישי,11:37,INTC,OPT,80,0.18,100,1440.0,-843.71,2283.71,0.2855,-0.369446,66.9,22.32
2026-08-27,חמישי,13:06,ES,FOP,27,0.85,50,1147.5,-413.64,1561.14,1.1564,-0.26496,25.8,38.07
2026-08-27,חמישי,13:07,ES,FOP,3,0.8,50,120.0,-53.46,173.46,1.1564,-0.308198,26.3,4.23
2026-08-27,חמישי,13:30,NVDA,OPT,40,0.49,100,1960.0,-532.62,2492.62,0.6232,-0.213677,54.9,4.95
2026-08-27,חמישי,14:02,CL,FUT,2,84.18,1000,168360.0,1210.56,167149.44,83.5747,0.007242,7.4,4.72
2026-08-27,חמישי,14:07,CRM,OPT,11,0.7,100,770.0,284.42,485.58,0.4414,0.585746,104.7,3.39
2026-08-27,חמישי,14:07,CRM,OPT,4,0.71,100,284.0,107.52,176.48,0.4412,0.609265,104.6,1.14
2026-08-27,חמישי,14:28,CL,FUT,3,83.47,1000,250410.0,-314.16,250724.16,83.5747,-0.001253,33.2,7.08
2026-08-27,חמישי,14:29,MSTR,OPT,100,0.1,100,1000.0,-1462.93,2462.93,0.2463,-0.593979,225.8,29.52
2026-08-27,חמישי,15:59,CRM,OPT,2,0.97,100,194.0,105.79,88.21,0.4411,1.199183,217.3,0.55
2026-08-27,חמישי,15:59,CRM,OPT,22,0.99,100,2178.0,1204.76,973.24,0.4424,1.237892,216.9,8.87
2026-08-27,חמישי,16:00,CRM,OPT,1,0.97,100,97.0,52.89,44.11,0.4411,1.199183,217.7,0.27
2026-08-27,חמישי,23:08,CL,FOP,7,0.03,1000,210.0,-1433.04,1643.04,0.2347,-0.872188,546.4,16.52
2026-08-27,חמישי,23:16,CL,FOP,5,0.03,1000,150.0,-1023.6,1173.6,0.2347,-0.872188,555.1,11.8
2026-08-28,שישי,01:23,NQ,FUT,1,29612.5,20,592250.0,0.0,592250.0,29612.5,0.0,,2.24
2026-08-28,שישי,09:32,AMZN,OPT,65,0.21,100,1365.0,-814.56,2179.56,0.3353,-0.373727,0.6,26.8
2026-08-28,שישי,09:43,NOW,OPT,70,0.16,100,1120.0,-1233.84,2353.84,0.3363,-0.524181,7.0,18.96
2026-08-28,שישי,09:49,CRM,OPT,10,2.34,100,2340.0,1892.49,447.51,0.4475,4.228897,1287.0,4.15
2026-08-28,שישי,09:52,NVDA,OPT,70,0.05,100,350.0,-2070.79,2420.79,0.3458,-0.855419,1078.9,36.7
2026-08-28,שישי,09:54,MU,OPT,1,0.16,100,16.0,-56.8,72.8,0.728,-0.780212,,0.79
2026-08-28,שישי,09:55,MU,OPT,29,0.14,100,406.0,-1689.42,2095.42,0.7226,-0.806244,,7.23
2026-08-28,שישי,09:59,AMZN,OPT,60,0.18,100,1080.0,-568.15,1648.15,0.2747,-0.344721,10.4,11.4
2026-08-28,שישי,10:03,NOW,OPT,59,0.18,100,1062.0,-915.85,1977.85,0.3352,-0.463052,6.7,14.91
2026-08-28,שישי,10:04,NOW,OPT,6,0.18,100,108.0,-93.37,201.37,0.3356,-0.463663,7.5,1.75
2026-08-28,שישי,10:05,CRM,OPT,40,1.69,100,6760.0,4974.8,1785.2,0.4463,2.786693,1302.3,11.76
2026-08-28,שישי,10:08,INTC,OPT,120,0.05,100,600.0,-1741.02,2341.02,0.1951,-0.743701,728.0,37.8
2026-08-28,שישי,12:54,AMZN,OPT,15,1.34,100,2010.0,1653.13,356.87,0.2379,4.632261,166.7,4.1
2026-08-28,שישי,22:16,MSTR,OPT,60,0,100,0.0,-2160.0,2160.0,0.36,-1.0,1854.7,0.0
2026-08-28,שישי,22:16,PURR,OPT,100,0,100,0.0,-2500.0,2500.0,0.25,-1.0,2083.2,0.0
